X,Y,Distancia,Angulo
23,176,134.07833531186162,157.64310867070571
25,47,144.80331487918363,-147.40741852740075
25,82,129.3560976529518,-160.584534544037
34,174,123.1665539016173,156.55707928503773
45,88,108.50345616615168,-160.06200825579447
47,143,101.6070863670443,169.79602627826833
48,190,118.43141475132347,146.7124723110875
56,155,95.81753492967766,161.75414547242175
59,109,89.44271909999159,-169.69515353123398
80,186,90.60905032059435,137.68377515946898
81,162,75.66372975210778,150.72474572274743
95,159,62.12889826803627,146.82148834060726
100,134,47.853944456021594,169.15969454566945
108,150,46.32493928760188,147.3390872783262
119,214,93.30058949438637,107.46392689184285
122,146,32.64965543462902,139.9697407281103
132,211,87.29833904490967,99.89392066973542
136,223,98.6154146165801,96.40435272638413
141,203,78.23042886243178,94.39870535499554
144,126,3.1622776601683795,161.565051177078
146,111,14.035668847618199,-94.08561677997488
149,165,40.049968789001575,87.13759477388825
149,188,63.0317380372777,88.18169703554817
157,134,13.45362404707371,41.98721249581666
157,205,80.62257748298549,82.8749836510982
162,97,31.76476034853718,-61.82140989004083
164,166,44.384682042344295,67.47943439710312
180,83,53.41348144429457,-51.84277341263094
186,191,76.66159403508382,59.42077312751099
189,216,100.22474744293447,65.22485943116808
191,245,127.81236246936366,69.86369657175187
205,222,113.01769772916099,59.123186920939595
212,236,128.63125592172378,59.647375272363
215,91,76.02631123499285,-26.56505117707799
222,220,121.03718436910205,51.70983680775693
227,102,83.24061508662703,-16.039943306049665
232,47,115.36463929644994,-42.54095600989538
259,95,115.94826432508596,-14.995079129175986
263,228,155.12897859523216,41.60286708066024
271,219,155.60205654167942,37.164474893511446
276,117,129.24782396620841,-3.5486819739044466
302,185,166.20770138594662,21.161259816828277
39,99,111.08555261599052,-166.46414363086578
53,166,102.55242561733974,156.43460412941803
54,80,103.31505214633539,-154.17900802581073
65,168,92.59049627256569,152.32792177724124
95,98,58.59180830116101,-152.56027205180072
106,207,91.67878707749138,116.56505117707799
105,209,93.91485505499116,116.56505117707799
133,68,58.69412236331676,-103.79948539601936
136,175,51.19570294468082,102.40741852740075
147,92,33.0,-90.0
197,195,86.02325267042627,54.46232220802562
205,162,68.79680225126747,32.53506715793501
207,194,91.43850392476902,48.99091309842978
249,157,106.90182411914213,17.41797079220284
