X,Y,Distancia,Angulo
31,48,279.9732130043873,-117.20571210565416
34,248,134.2609399639374,-158.59482056988148
41,91,237.40261161158273,-119.80475147318012
51,16,301.0398644698074,-111.02384639903813
61,25,289.1158937173811,-109.81379324549566
63,100,219.14607000811125,-115.98042065637281
63,172,157.610278852618,-127.52426261445179
70,134,185.71483516402236,-118.63508183011909
81,254,89.06739021662193,-151.1328405304854
108,40,262.01145013147806,-101.2241604130731
110,266,57.982756057296896,-147.6803834918198
113,105,197.43353311937665,-103.47315811273114
113,237,75.6042326857432,-127.47617956136138
153,240,57.3149195236284,-96.00900595749452
154,16,281.04448046528154,-91.01939028145509
163,240,57.14017850864661,-85.98582430458899
168,26,271.14940531006147,-88.09788722534307
169,16,281.1778796420515,-87.96186439499262
179,19,278.71849597757233,-85.88509090176275
184,28,270.1592123174777,-84.69036525654644
203,260,57.48912940721924,-40.0607844578738
226,81,226.15260334561705,-72.76688424153011
231,34,272.6774651488458,-74.68959429623763
232,210,113.56936206565572,-50.000644597558434
241,20,288.88232898535,-73.50972485754644
276,228,135.83077707206124,-30.52970589993411
282,133,205.0,-53.13010235415598
295,72,262.90872941003687,-58.849369442011444
305,187,182.80043763623763,-36.995271142707146
315,98,252.85766747322495,-51.90640708206179
317,188,191.9505144562004,-34.600761887612784
327,186,201.357890334598,-33.453309454072674
330,116,249.0020080240318,-46.627283322393595
334,147,230.4886114323222,-40.60129464500447
27,207,159.76232346833217,-145.71312302279105
40,34,288.6693610343848,-114.3453956238801
74,263,91.54780172128658,-158.19859051364818
96,77,228.84274076317124,-105.97978712099014
105,48,254.78814729103863,-102.23611150941635
155,226,71.11258679024411,-93.22452260651991
264,155,176.60407696313243,-53.519422157411114
275,183,162.64070831129578,-44.501788387386355
284,129,209.40152817016403,-53.34899633985647
286,129,210.60151946270474,-52.9124556156005
287,180,173.4156855650607,-42.42926288930948
295,142,206.20620747203515,-48.73565912661767
296,146,203.8872237291979,-47.78302075385662
298,146,205.2364490045567,-47.36950806425529
298,148,203.7694775966214,-46.98863785647407
300,167,191.7837323653912,-42.67561702905185
304,132,219.65882636488797,-48.69138598645128
304,134,218.16049138191818,-48.34465031826588
317,146,218.55205329623422,-43.702259323261
319,126,234.1815535006974,-46.90338884992427
