X,Y,Distancia,Angulo
32,78,266.2930716334918,-122.7352262721076
49,184,173.35801106380978,-137.10379694685108
61,172,173.5655495770978,-131.49646835521557
62,242,128.82546332150332,-152.24145939893998
80,53,266.865134478073,-111.08375458238065
82,193,143.93401265857906,-130.77400182204155
84,115,208.40585404445815,-116.19619932303777
96,50,264.39364591457183,-107.61257784292383
105,318,72.78049189171504,167.30041551040264
118,317,59.90826320300064,165.49983323344745
163,276,29.068883707497267,-116.56505117707799
165,316,17.804493814764857,128.15722658736905
178,314,12.165525060596439,80.53767779197439
179,225,77.05841939723393,-87.76882539196876
189,313,17.029386365926403,40.23635830927382
206,227,80.77747210701756,-68.19859051364818
209,103,201.71762441591463,-80.58437360845969
211,170,136.56134152826706,-75.14966170101577
225,51,255.7381473304286,-78.95369655286491
234,301,58.008620049092706,-0.98776039963981
238,53,256.6028059082753,-76.01791131699893
249,171,149.96666296213968,-60.87117861145701
251,54,259.0926475220785,-73.17366736922783
257,97,220.42232191862965,-68.4399360934349
259,128,192.78226059469267,-64.49832146067692
260,156,168.43990026119107,-60.08635400846512
261,193,138.2244551445221,-52.05230600784119
263,56,260.93102536877444,-70.523424501068
271,173,160.20611723651504,-53.630801788548446
272,294,96.33275663033837,-4.763641690726178
274,205,137.88763541376724,-44.7061780653493
280,66,257.8992051170379,-66.21796957677863
288,181,164.87874332369228,-47.212042002048356
290,67,261.19150062741323,-64.12168041674576
296,164,182.87700784953805,-48.99091309842978
301,179,175.3681841155915,-44.537947278569234
311,187,177.341478509682,-40.426078740099136
313,169,190.93978108293726,-44.151235728446416
321,176,192.09633000138237,-40.98951532948325
321,245,155.80115532305913,-21.4599607304857
322,96,252.4915840181609,-54.6733554324035
327,125,232.65854809140367,-49.53226170870146
328,113,242.53865671269807,-51.19261762404758
328,135,225.8162970203878,-47.692175889506984
330,159,210.1547049199708,-42.87890360333855
30,104,246.0081299469593,-126.40408856307901
35,159,200.8233054204616,-134.59651526494125
113,61,249.09837414162303,-104.64990410581296
149,275,38.18376618407357,-135.0
152,85,218.3231549790356,-96.31121057513263
216,206,104.0,-67.38013505195957
217,195,114.58621208504974,-69.03428815944258
218,206,104.78549517943789,-66.37062226934319
221,214,98.8382517044894,-62.91644913563134
224,297,48.25971404805462,-5.9468630539735
230,204,111.89280584559492,-61.14433878028348
231,214,103.77379245262264,-57.9946167919165
233,187,128.35108102388543,-63.63458487744639
233,216,103.1746092796091,-56.46395301569255
242,206,116.49892703368559,-55.4914770123316
242,198,123.17467272130257,-57.60015982608067
245,211,114.20157617125956,-52.82907651005961
254,103,213.74049686477292,-68.59681714720628
253,105,211.51359294381058,-68.65131332664217
262,152,172.90459797240788,-60.17291534552527
276,212,134.5362404707371,-41.98721249581666
281,84,241.96900627972997,-64.28214444299927
284,191,154.8709139896837,-45.78482460299189
296,184,168.2973558912914,-44.51853419416165
299,184,170.4494059831245,-43.81146139079119
308,163,191.68985366993215,-46.47963577089681
315,214,164.51443705644803,-32.337635937142565
322,152,209.32271735289507,-45.77422016492806
