X,Y,Distancia,Angulo
19,66,185.21878954360974,-120.85765335796731
52,43,192.27064258487306,-108.81188930251915
74,54,175.6160584912439,-103.16579445444081
81,119,111.01801655587259,-107.29244939987768
89,197,37.53664875824692,-131.76029970389789
91,47,179.47980387776224,-97.36259251121254
120,79,146.12323566086263,-87.64670313389169
123,226,9.055385138137417,6.34019174590991
141,113,115.20850663036997,-76.44623590226836
145,42,185.60711193270586,-80.38543072909906
155,59,170.98830369355676,-76.12629731451479
175,48,187.21645226849054,-70.98437059118528
188,45,194.6175737183053,-67.65189165209058
196,17,223.5799633240868,-68.48411529050487
197,51,192.78226059469267,-64.49832146067692
224,125,148.66068747318505,-42.27368900609374
228,25,230.20860105565126,-60.31685982087671
234,224,120.00416659433121,-0.4774537773095774
241,137,154.50889942006577,-34.71860657106739
241,166,140.03570973148243,-24.91802251581925
254,227,140.0142849854971,0.8184554616886145
260,86,201.58620984581262,-43.593018121017984
261,158,161.54875425084526,-24.502659451998177
279,64,230.53416232740864,-44.29701957726442
281,228,167.0269439342048,1.0291548043059813
288,130,198.2447981663075,-28.63352559850057
307,47,262.5509474368737,-42.68472008611395
308,37,270.1481075262235,-44.1001402850956
310,225,196.0,0.0
317,155,214.73006310249156,-19.025606037568682
331,122,240.20407989873945,-25.391558728109725
332,133,236.61783533791362,-22.880637176417697
332,165,226.10616975217638,-15.388467832758984
26,20,223.0896680709351,-113.23231374666572
52,66,170.66048165876012,-111.30265577748288
85,87,141.01418368376991,-101.86773189756609
88,99,128.65457628860312,-101.659292653523
109,98,127.09838708654017,-92.25457496593503
130,71,154.82893786369524,-84.06847307508025
134,82,144.3918280236108,-82.0382491089919
144,64,163.77118183612157,-79.4448185670512
144,75,152.97058540778355,-78.69006752597979
171,39,194.5379140424817,-72.96223220437436
181,173,84.81155581640984,-37.81573260757314
187,39,199.81241202688085,-68.57132731534975
187,165,94.49338601193207,-39.41739424346893
191,54,187.5366630821824,-65.75832427154641
202,111,144.01388821915754,-52.334378801416705
211,121,142.21462653327893,-46.99456930124184
231,24,232.57256931977167,-59.79676224505735
232,126,154.02921800749363,-39.996080047759655
236,116,163.6001222493431,-41.77895978449951
254,121,174.40183485273312,-36.6070748126075
262,61,220.90722034374522,-47.93567344642118
269,38,242.88680491125902,-50.345445372767095
271,123,187.22446421341417,-33.01103822786214
273,142,179.3599732381782,-27.565125305200706
291,151,191.84629264074925,-22.688785259041204
298,128,208.00240383226344,-27.79702857971772
300,140,204.50183373260984,-24.559891043701096
321,199,208.62646045025065,-7.159080423076813
