X,Y,Distancia,Angulo
34,108,191.8567173700207,-116.2979399210212
47,219,94.36630754670864,-139.72798781884222
49,190,114.0175425099138,-127.87498365109822
63,227,77.10382610480494,-136.57655005518373
163,181,108.33743581975715,-66.03751102542182
167,111,175.6843760839307,-74.14419867736142
188,133,162.3884232326923,-64.85521436932105
234,142,179.63574254585305,-50.19442890773481
249,28,283.55599094358774,-62.712012054484504
249,136,194.0,-47.92497794915637
256,205,156.18578680533003,-28.698291655692618
257,162,181.57092278225608,-40.53284093861073
271,138,208.00961516237658,-43.05191499348505
277,196,178.94133116750865,-27.99714736124264
280,78,258.3118270617898,-51.44411384388276
298,127,235.47823678633233,-40.52212042615036
299,183,204.47249203743763,-28.31973416197115
313,187,215.13948963405113,-25.61219467377703
319,33,317.81913095344026,-51.002333571416266
324,154,240.62626623043462,-31.57630389402977
30,73,225.32199182503248,-113.26536878121196
51,165,133.60014970051492,-120.59600946706267
56,179,119.03780911962384,-121.9543629370514
102,126,154.93547043850222,-96.29935370613049
106,18,262.32232081925474,-92.84059072896933
122,180,100.04498987955368,-88.28164199834454
124,227,53.23532661682466,-84.61068824002659
137,141,140.1606221447379,-82.62146415732617
223,145,170.41420128616042,-52.390409209287704
233,99,213.9088590965788,-57.79587107933759
251,154,182.4828759089466,-43.66778014613036
262,189,169.49926253526885,-32.47119229084849
263,100,230.51247254758255,-51.34019174590991
264,161,187.57931655702342,-39.37537195855409
271,97,237.89283301520456,-50.286940850235304
280,81,255.9726547895302,-51.02557500836668
291,204,188.04254837669055,-23.838740183171723
330,85,287.30819688968154,-42.74320607354894
