X,Y,Distancia,Angulo
79,102,118.69709347747316,-99.7003919439458
121,78,142.70599146496969,-81.1317371667924
125,128,94.64142856064674,-74.05460409907715
179,80,160.37767924496225,-60.07787014393645
182,166,98.47842403288143,-32.56043798115345
196,113,143.68368035375485,-47.53854459839879
202,52,196.2090721653818,-58.335106341045915
208,135,137.6117727521886,-37.619363641159175
209,116,150.6950563223625,-43.11771755698925
232,44,219.80445855350615,-52.76516601842533
246,167,155.92626462530293,-19.48080022827937
253,159,165.27552752903256,-21.28640511365909
262,60,227.705950734714,-44.28828779396431
263,162,173.62315513778685,-19.165456517190883
266,150,180.6931099959265,-22.449124518333036
267,81,217.41205118392128,-39.40066066347943
271,122,197.46645284705957,-29.420976446249135
274,111,205.6428943581567,-31.680513712958646
283,58,244.49335369289693,-41.18592516570965
287,115,214.84878403193255,-28.950995207466804
288,77,236.40008460235373,-36.91837122100743
290,19,276.55198426335687,-46.318595842828564
303,101,235.6692597688549,-30.046435246810503
311,73,257.41017850893155,-34.55437794347488
320,39,285.02806879323305,-39.1621145477107
327,101,256.7255343747482,-27.3635469273917
328,74,271.0461215365385,-32.341490691202345
116,147,73.97972695272672,-76.71513351509782
124,68,153.05554547287727,-80.59921995897616
157,119,115.6027681329474,-59.88626684901757
212,65,191.01047091717248,-53.73003623440993
216,168,127.63228431709588,-23.55226367289465
225,78,189.0952141118331,-48.215483991748215
229,134,155.32224567009067,-33.17851165939275
247,122,176.9547964876906,-33.241050233261454
295,144,209.85947679340097,-20.93950260320208
